"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://unityverseacademy.com/kategori/mimarlik-egitimleri-ozel-ders-274/","481","160","3,006","72,399","Fairly Easy","","","","","","","","","","tr","33ca3ecc954123e76918fed339c64e38","Indexable",""
"https://unityverseacademy.com/blog-detay/filiz-tumuklunun-yazilim-test-otomasyonu-egitimi-ve-kariyer-basarisi-90/","781","162","4,821","30,359","Hard","","","","","","","","","","tr","9cf41cc260dd6b9f05db0d7b7fed8fc","Indexable",""
"https://unityverseacademy.com/kategori/dijital-pazarlama-egitimleri-255/","522","172","3,035","63,403","Normal","","","","","","","","","","tr","12f5e71f57ea4a1fe97c5a8130c1e195","Indexable",""
"https://unityverseacademy.com/kategori/ozel-dersler-256/","750","253","2,964","59,781","Fairly Hard","","","","","","","","","","tr","fb976026a4d2dba19e31e98cd66052ea","Indexable",""
"https://unityverseacademy.com/urun/2b-cizgi-film-ve-animasyon-uzmanligi-canli-online-egitimi-565/","2502","522","4,793","5,483","Very Hard","","","","","","","","","","tr","7a79524a5d0088c61d3794a432d8f020","Indexable",""
"https://unityverseacademy.com/os/KARIYER-14/","251","83","3,024","55,463","Fairly Hard","","","","","","","","","","tr","23972be48667a277d0f14e448a14d777","Non-Indexable","Canonicalised"
"https://unityverseacademy.com/blog-detay/burak-ercayanin-yazilim-test-otomasyonu-egitimi-ve-testiniumdaki-isi-88/","762","161","4,733","21,729","Very Hard","","","","","","","","","","tr","1dcde5173ed63451be3fc9d5b5cdf793","Indexable",""
"https://unityverseacademy.com/sayfa/kisisel-verilerin-korunmasi-hakkinda-aydinlatma-bildirimi-29/","2534","461","5,497","0,000","Very Hard","","","","","","","","","","tr","e680af4a43205ae91144e53c6f20d140","Indexable",""
"https://unityverseacademy.com/blog-detay/elif-arslanin-yazilim-gelistirici-olarak-ayakkabi-dunyasindaki-baslangici-94/","558","135","4,133","33,440","Hard","","","","","","","","","","tr","be4ee1b16fe99a622a5e02cf002bad50","Indexable",""
"https://unityverseacademy.com/kategori/muhasebe-ve-ofis-egitimleri-258/","560","186","3,011","65,549","Normal","","","","","","","","","","tr","c650b60b8d16ae890de3b50112f39083","Indexable",""
"https://unityverseacademy.com/blog-detay/oguzhan-durakin-grafik-tasarim-ve-video-kurgu-alanindaki-yolculugu-100/","683","150","4,553","35,491","Hard","","","","","","","","","","tr","f49be47314b4d176d2780fd2d198e86c","Indexable",""
"https://unityverseacademy.com/sayfa/mesafeli-satis-sozlesmesi-26/","3886","677","5,740","12,825","Very Hard","","","","","","","","","","tr","6df8eb2d41b23f95da698cbfa94b509e","Indexable",""
"https://unityverseacademy.com/urun/2b-oyun-karakter-tasarimi-ve-animasyon-canli-online-egitimi-553/","2710","548","4,945","6,611","Very Hard","","","","","","","","","","tr","d6249121118c7e745fca7febc6e2d561","Indexable",""
"https://unityverseacademy.com/blog-detay/berkay-kurt-multiplayer-oyun-gelistiriciliginde-bir-yildiz-130/","535","134","3,993","33,266","Hard","","","","","","","","","","tr","d1abadf1bb7b1d135a9bf42a10644044","Indexable",""
"https://unityverseacademy.com/blog-detay/fatih-yilmazin-yazilim-yolculugu-ve-lufthansadaki-basarisi-91/","832","173","4,809","33,364","Hard","","","","","","","","","","tr","e90e63630cf252e4d386398ebb5ceea","Indexable",""
"https://unityverseacademy.com/kategori/3d-modelleme-ozel-ders-273/","477","159","3,000","75,560","Fairly Easy","","","","","","","","","","tr","c3ca1926bf4d914adce2eb9356f67487","Indexable",""
"https://unityverseacademy.com/tum-urunler/","5788","1567","3,694","57,009","Fairly Hard","","","","","","","","","","tr","bcd26e74560ed393e183e37d484eeddd","Indexable",""
"https://unityverseacademy.com/kategori/endustriyel-urun-tasarim-egitimleri-253/","588","186","3,161","68,381","Normal","","","","","","","","","","tr","e1aee902465c322a3f08f4c4b671903f","Indexable",""
"https://unityverseacademy.com/sayfa/kvkk-aydinlatma-metni/","2534","461","5,497","0,000","Very Hard","","","","","","","","","","tr","e680af4a43205ae91144e53c6f20d140","Non-Indexable","Canonicalised"
"https://unityverseacademy.com/kategori/ses-tasarim-egitimleri-251/","548","186","2,946","63,359","Normal","","","","","","","","","","tr","70ed61f0f5c4ede076e7193dcf3df943","Indexable",""
"https://unityverseacademy.com/kategori/yazilim-egitimleri-ozel-ders-268/","477","159","3,000","73,432","Fairly Easy","","","","","","","","","","tr","59319e08efd04a1a9f70fa304d37e739","Indexable",""
